Country,Image,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330200.0,354100.0,230300.0,438800.0,600300.0,743900.0,787700.0,711400.0,965800.0,867200.0,1017000.0,795594.0,1120912.0,1174763.0,1075238.0,1396553.0,2045237.0,1979000.0,1739110.0,2132369.0,2553570.0,2101183.0,2925079.0,2896411.0,2339950.0,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687700.0,1457400.0,1675000.0,1640364.0,1913177.0,1768410.0,1661958.0,1577342.0,1850406.0,1909768.0,1849584.0,1687749.0,1834624.0,1803550.0,1994600.0,2019347.0,1400074.0,,
Bhutan,,5000.0,5100.0,5200.0,5300.0,5400.0,5600.0,5800.0,6000.0,6200.0,6400.0,6600.0,6800.0,7000.0,7200.0,7400.0,7600.0,7800.0,8000.0,8200.0,8500.0,9300.0,10000.0,11000.0,12071.0,11000.0,11000.0,8000.0,4100.0,4100.0,5000.0,5000.0,5000.0,7000.0,10000.0,13000.0,17000.0,20000.0,20000.0,20000.0,4350.0,4500.0,4582.0,4763.0,4191.0,11306.0,9100.0,8879.0,5828.0,4481.0,4873.0,6266.0,5038.0,5310.0,5172.0,3548.0,2683.0,,
Bolivia (Plurinational State of),,45000.0,40000.0,55000.0,57000.0,55000.0,41000.0,27000.0,45000.0,53200.0,44190.0,47100.0,53590.0,57000.0,62460.0,61750.0,69815.0,55610.0,56590.0,67755.0,60140.0,66620.0,66000.0,45647.0,78490.0,74333.0,81200.0,76655.0,62650.0,60794.0,54480.0,108733.0,95727.0,145129.0,82323.0,122805.0,98820.0,168547.0,175426.0,150012.0,101510.0,112659.0,119102.0,112930.0,116037.0,131198.0,143677.0,167095.0,199990.0,201508.0,241397.0,182927.0,145151.0,208735.0,159670.0,337599.0,346242.0,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000.0,330000.0,313000.0,238750.0,165700.0,287372.0,340931.0,257764.0,336085.0,255221.0,272280.0,160734.0,318986.0,248332.0,232496.0,257112.0,240533.0,255848.0,145412.0,210004.0,225137.0,265152.0,170550.0,213015.0,306605.0,,
Botswana,,400.0,400.0,400.0,400.0,400.0,450.0,450.0,453.0,671.0,360.0,500.0,500.0,517.0,550.0,550.0,570.0,600.0,600.0,600.0,600.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1500.0,500.0,853.0,1000.0,900.0,716.0,636.0,500.0,501.0,461.0,550.0,364.0,315.0,282.0,225.0,199.0,72.0,104.0,,,,,,,,,,
Brazil,,544858.0,705619.0,392363.0,643004.0,585384.0,614657.0,629301.0,856170.0,1373691.0,1844263.0,2011334.0,982901.0,2031338.0,2858530.0,1788180.0,3215745.0,2066039.0,2690888.0,2926764.0,2701613.0,2209631.0,1826945.0,2236700.0,1983157.0,4320267.0,5638470.0,6099111.0,5745670.0,5555184.0,3093791.0,2916823.0,2795598.0,2197354.0,2096259.0,1533871.0,3292777.0,2489070.0,2269847.0,2461856.0,1725792.0,3366599.0,3105660.0,6153500.0,5818846.0,4658790.0,2484848.0,4114057.0,6027131.0,5055525.0,6171250.0,5690043.0,4418388.0,5738473.0,6261895.0,5508451.0,6834421.0,,
Bulgaria,,2039600.0,2089680.0,1894270.0,2120540.0,2923010.0,3193356.0,3254163.0,2549202.0,2568708.0,3031719.0,3094544.0,3581633.0,3258147.0,3034078.0,2996135.0,3510835.0,3384211.0,3466215.0,3354760.0,3846572.0,4442757.0,4912580.0,3608421.0,4835576.0,3067514.0,4326575.0,4148650.0,4743133.0,5425026.0,5292233.0,4497045.0,3442555.0,3618220.0,3754310.0,3435250.0,1802110.0,3574840.0,3203359.0,2642973.0,2781242.0,4077497.0,4122765.0,2003937.0,3961178.0,3478066.0,3301882.0,2390610.0,4632210.0,3976852.0,4094597.0,4458492.0,4455104.0,5504941.0,5347078.0,5011597.0,5662721.0,,
Burundi,,4000.0,6500.0,7400.0,7400.0,8200.0,8230.0,8400.0,9800.0,4387.0,5000.0,5110.0,4599.0,5122.0,4098.0,5173.0,5600.0,6000.0,2742.0,4600.0,5600.0,7000.0,6000.0,6000.0,8000.0,8000.0,8000.0,8200.0,8300.0,8300.0,8600.0,8800.0,8900.0,8700.0,7942.0,8928.0,9054.0,9739.0,9778.0,7085.0,6097.0,8667.0,8290.0,8092.0,7493.0,7756.0,8007.0,7987.0,8094.0,8583.0,9034.0,9787.0,4196.0,6423.0,5628.0,6647.0,6815.0,,
Cameroon,,,,,,,,,,,,,,,,,370.0,787.0,1000.0,1548.0,1518.0,1518.0,900.0,400.0,270.0,359.0,400.0,400.0,400.0,400.0,381.0,577.0,588.0,600.0,609.0,563.0,400.0,564.0,581.0,598.0,615.0,632.0,650.0,669.0,689.0,709.0,730.0,753.0,777.0,802.0,900.0,950.0,800.0,850.0,881.0,875.0,885.0,,
